time,val_1,val_2
366,15.80,15.70

367,15.80,15.69

368,15.80,15.67

369,15.80,15.68

370,15.80,15.68

371,15.80,15.68

372,15.80,15.68

373,15.80,15.68

374,15.80,15.69

375,15.80,15.67

376,15.80,15.66

377,15.80,15.64

378,15.80,15.64

379,15.80,15.62

380,15.80,15.63

381,15.80,15.62

382,15.80,15.64

383,15.80,15.63

384,15.80,15.62

385,15.80,15.62

386,15.80,15.64

387,15.80,15.67

388,15.80,15.68

389,15.80,15.68

390,15.80,15.69

391,15.80,15.70

392,15.80,15.70

393,15.80,15.73

394,15.80,15.76

395,15.80,15.78

396,15.80,15.83

397,16.00,15.88

398,16.00,15.93

399,16.00,15.99

400,16.00,16.02

401,16.00,16.07

402,16.00,16.13

403,16.20,16.15

404,16.20,16.19

405,16.20,16.23

406,16.20,16.23

407,16.20,16.22

408,16.20,16.24

409,16.20,16.25

410,16.20,16.28

411,16.20,16.31

412,16.20,16.31

413,16.20,16.35

414,16.20,16.38

415,16.40,16.39

416,16.40,16.41

417,16.40,16.43

418,16.40,16.44

419,16.40,16.45

420,16.40,16.44

421,16.40,16.42

422,16.40,16.42

423,16.40,16.38

424,16.40,16.37

425,16.40,16.35

426,16.40,16.35

427,16.40,16.33

428,16.30,16.30

429,16.30,16.29

430,16.30,16.28

431,16.30,16.29

432,16.30,16.29

433,16.30,16.29

434,16.30,16.27

435,16.30,16.27

436,16.30,16.25

437,16.30,16.25

438,16.30,16.25

439,16.30,16.23

440,16.30,16.23

441,16.30,16.21

442,16.30,16.19

443,16.30,16.17

444,16.30,16.13

445,16.30,16.11

446,16.20,16.10

447,16.20,16.06

448,16.20,16.04

449,16.20,16.02

450,16.20,16.00

451,16.20,15.96

452,16.10,15.93

453,16.10,15.94

454,16.10,15.93

455,16.10,15.90

456,16.10,15.90

457,16.10,15.88

458,16.00,15.85

459,16.00,15.83

460,16.00,15.81

461,16.00,15.81

462,16.00,15.80

463,16.00,15.75

464,16.00,15.73

465,16.00,15.73

466,16.00,15.69

467,16.00,15.70

468,16.00,15.69

469,16.00,15.68

470,16.00,15.66

471,15.90,15.65

472,15.90,15.65

473,15.90,15.65

474,15.90,15.66

475,15.90,15.63

476,15.90,15.63

477,15.80,15.61

478,15.80,15.58

479,15.80,15.55

480,15.80,15.53

481,15.80,15.51

482,15.80,15.48

483,15.70,15.47

484,15.70,15.44

485,15.70,15.45

486,15.70,15.43

487,15.70,15.40

488,15.70,15.40

489,15.60,15.41

490,15.60,15.39

491,15.60,15.37

492,15.60,15.36

493,15.60,15.31

494,15.60,15.29

495,15.50,15.26

496,15.50,15.25

497,15.50,15.22

498,15.50,15.22

499,15.50,15.21

500,15.50,15.21

501,15.50,15.20

502,15.40,15.19

503,15.40,15.19

504,15.40,15.18

505,15.40,15.17

506,15.40,15.15

507,15.40,15.15

508,15.30,15.11

509,15.30,15.09

510,15.30,15.07

511,15.30,15.07

512,15.30,15.07

513,15.30,15.06

514,15.30,15.06

515,15.30,15.04

516,15.30,15.04

517,15.30,15.04

518,15.30,15.05

519,15.30,15.03

520,15.20,15.01

521,15.20,15.01

522,15.20,14.98

523,15.20,14.99

524,15.20,14.97

525,15.20,14.97

526,15.20,14.97

527,15.20,14.97

528,15.20,14.98

529,15.20,15.00

530,15.20,14.99

531,15.20,14.98

532,15.20,15.00

533,15.20,15.00

534,15.20,15.01

535,15.20,15.01

536,15.20,15.02

537,15.20,15.01

538,15.20,14.97

539,15.20,14.98

540,15.20,15.00

541,15.20,14.99

542,15.20,14.98

543,15.20,14.96

544,15.20,14.96

545,15.20,14.94

546,15.20,14.93

547,15.20,14.93

548,15.20,14.95

549,15.20,14.96

550,15.20,14.95

551,15.30,14.98

552,15.30,15.00

553,15.30,15.02

554,15.30,15.03

555,15.30,15.04

556,15.30,15.04

557,15.30,15.07

558,15.30,15.09

559,15.30,15.10

560,15.30,15.12

561,15.30,15.11

562,15.30,15.15

563,15.50,15.18

564,15.50,15.23

565,15.50,15.29

566,15.50,15.36

567,15.50,15.44

568,15.50,15.53

569,15.70,15.63

570,15.70,15.77

571,15.70,15.94

572,15.70,16.06

573,15.70,16.22

574,15.70,16.36

575,15.70,16.55

576,16.00,16.71

577,16.00,16.87

578,16.00,17.01

579,16.00,17.16

580,16.00,17.28

581,16.00,17.42

582,16.80,17.55

583,16.80,17.69

584,16.80,17.83

585,16.80,17.95

586,16.80,18.08

587,16.80,18.20

588,17.60,18.30

589,17.60,18.42

590,17.60,18.55

591,17.60,18.67

592,17.60,18.77

593,17.60,18.87

594,18.20,18.96

595,18.20,19.04

596,18.20,19.10

597,18.20,19.18

598,18.20,19.26

599,18.20,19.30

600,18.60,19.35

601,18.60,19.39

602,18.60,19.44

603,18.60,19.49

604,18.60,19.51

605,18.60,19.54

606,19.00,19.60

607,19.00,19.62

608,19.00,19.66

609,19.00,19.71

610,19.00,19.74

611,19.00,19.76

612,19.00,19.78

613,19.40,19.83

614,19.40,19.89

615,19.40,19.92

616,19.40,19.94

617,19.40,19.99

618,19.40,20.04

619,19.60,20.05

620,19.60,20.07

621,19.60,20.09

622,19.60,20.15

623,19.60,20.12

624,19.60,20.12

625,19.80,20.12

626,19.80,20.16

627,19.80,20.19

628,19.80,20.19

629,19.80,20.22

630,19.80,20.23

631,19.90,20.28

632,19.90,20.28

633,19.90,20.31

634,19.90,20.34

635,19.90,20.36

636,19.90,20.36

637,20.10,20.34

638,20.10,20.35

639,20.10,20.37

640,20.10,20.39

641,20.10,20.39

642,20.10,20.41

643,20.10,20.42

644,20.10,20.42

645,20.10,20.44

646,20.10,20.46

647,20.10,20.51

648,20.10,20.51

649,20.10,20.53

650,20.20,20.52

651,20.20,20.50

652,20.20,20.50

653,20.20,20.51

654,20.20,20.52

655,20.20,20.54

656,20.30,20.54

657,20.30,20.53

658,20.30,20.56

659,20.30,20.56

660,20.30,20.57

661,20.30,20.57

662,20.40,20.56

663,20.40,20.56

664,20.40,20.60

665,20.40,20.58

666,20.40,20.57

667,20.40,20.55
